brand,name,price,image,link
Fendi,FENDI Zucca Spalmati Small Roll Tote Tobacco Moro Shows Wear Est. Retail 3% below retail,825,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/27711fb0f1fb0e158984f3abe709c152.jpg?v=1777912828&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/fendi-zucca-spalmati-small-roll-tote-tobacco-moro-1871934
Chanel,CHANEL Shiny Lambskin Quilted Micro 31 Clutch With Chain Black Excellent,2855,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/ad0d9a0795a49933c3a936627be0be21.jpg?v=1773083568&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chanel-shiny-lambskin-quilted-micro-31-clutch-with-chain-black-1831988
Gucci,GUCCI Nubuck Matelasse Mini GG Marmont Shoulder Bag Grey Excellent Est. Retail 25% below retail,1160,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/48deb0feba8afc72897d0bbbb34b4675.jpg?v=1771081286&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/gucci-nubuck-matelasse-mini-gg-marmont-shoulder-bag-grey-1814976
Celine,CELINE Supple Calfskin Medium Hobo Black Shows Wear Est. Retail 63% below retail,895,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/331fb592ffd0df4e5addbdd767b9e301.jpg?v=1773093010&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/celine-supple-calfskin-medium-hobo-black-1768904
Celine,CELINE Canvas Calfskin Mini Ava Triomphe Shoulder Bag Tan Excellent,1055,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/f2c53c3d3e8379d02f6ca4f76ed0e633.jpg?v=1767799232&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/celine-canvas-calfskin-mini-ava-triomphe-shoulder-bag-tan-1789914
Chloe,CHLOE X MIFUKO Raffia Large Woody Basket Bag White Excellent Est. Retail 16% below retail,795,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/36959f1b3bf6db3edbe4d52a9b190fb4.jpg?v=1777038146&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/chloe-x-mifuko-raffia-large-woody-basket-bag-white-1855733
Bottega Veneta,BOTTEGA VENETA Nappa Maxi Intrecciato The Pouch Oversized Clutch Almond Excellent Est. Retail 36% below retail,2705,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/dbe6ed3f265c511ecf1832e592eded60.jpg?v=1764846272&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/bottega-veneta-nappa-maxi-intrecciato-the-pouch-oversized-clutch-almond-1767786
Gucci,GUCCI Vintage Effect Calfskin Matelasse Diagonal Super Mini Torchon GG Marmont Shoulder Bag Blue Agata Mystic White Excellent Est. Retail 5% below retail,995,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/003b180c107dc32134eb8bc65ed9ce78.jpg?v=1774367803&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/gucci-vintage-effect-calfskin-matelasse-diagonal-super-mini-torchon-gg-marmont-shoulder-bag-blue-agata-mystic-white-1840398
Celine,CELINE Shiny Calfskin Teen Triomphe Bronze Excellent Est. Retail 28% below retail,2915,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/03b5c2e09d54c3da1d1267d035cf5cea.jpg?v=1772659928&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/celine-shiny-calfskin-teen-triomphe-bronze-1822194
Celine,CELINE Shiny Calfskin Medium Triomphe Chestnut Excellent Est. Retail 29% below retail,3095,https://cdn.shopify.com/s/files/1/0894/3186/7695/files/ca1d295adf8c2faf0cb8c30c9dd09de4.jpg?v=1777134837&width=480&height=480&crop=center&format=webp,https://www.fashionphile.com/products/celine-shiny-calfskin-medium-triomphe-chestnut-1866437
